original_price_category,range_min,range_max,mean,median,sd
cheap,0.39,906.48,49.22496359042948,18.4,103.53286097542293
expensive,2.6,424.72,125.10768611670021,68.26,141.91044594470085
free,3.43,412.53,48.835,25.775,75.53889577362642
normal,0.99,962.6,53.57416892911011,29.56,94.96333576324845
super cheap,0,707.84,26.371860914359303,8.46,69.06111759320805
NA,0.98,707.84,27.432871035940803,17.98,36.66889826545647
